date,cumulative_return,daily_return
2023-02-07,69.31,1.0564641279694253
2023-02-08,68.25,-0.6260705215285545
2023-02-09,69.88,0.9687964338781496
2023-02-10,70.07,0.11184365434424581
2023-02-13,71.01,0.55271358852238
2023-02-14,71.23,0.12864744751768242
2023-02-15,71.27,0.023360392454585543
2023-02-16,67.6,-2.1428154376131214
2023-02-17,67.44,-0.09546539379474694
2023-02-20,69.62,1.3019589106545881
2023-02-21,70.5,0.5188067444876765
2023-02-22,70.15,-0.2052785923753686
2023-02-23,69.6,-0.32324419629738976
2023-02-24,69.38,-0.12971698113207752
2023-02-27,68.01,-0.808832211595234
2023-02-28,69.39,0.8213796797809758
2023-03-01,70.19,0.47228289745557817
2023-03-02,70.46,0.15864621893177944
2023-03-03,70.95,0.28745746802769645
2023-03-06,70.36,-0.34513015501608235
2023-03-07,68.2,-1.2679032636769283
2023-03-08,69.35,0.6837098692033194
2023-03-09,69.33,-0.011809861234113317
2023-03-10,66.9,-1.4350676194413214
2023-03-13,67.17,0.16177351707609144
2023-03-14,65.24,-1.154513369623733
2023-03-15,68.14,1.7550229968530617
2023-03-16,65.66,-1.4749613417390228
2023-03-17,66.43,0.4648074369189903
2023-03-20,65.99,-0.26437541308659274
2023-03-21,67.15,0.6988372793541808
2023-03-22,67.78,0.37690696978760485
2023-03-23,67.44,-0.2026463225652697
2023-03-24,67.42,-0.011944577161970837
2023-03-27,66.45,-0.5793811969896145
2023-03-28,65.36,-0.6548513066987005
2023-03-29,64.24,-0.6773101112723778
2023-03-30,63.21,-0.6271310277642494
2023-03-31,64.9,1.0354757674162274
2023-04-03,65.52,0.3759854457246803
2023-04-04,64.39,-0.6826969550507545
2023-04-06,63.56,-0.5048968915383978
2023-04-07,64.43,0.5319148936170137
2023-04-10,63.39,-0.6324879888098267
2023-04-11,63.58,0.11628618642511857
2023-04-12,63.97,0.23841545421199317
2023-04-13,64.02,0.030493382935903313
2023-04-14,64.78,0.4633581270576892
2023-04-17,66.26,0.8981672533074248
2023-04-18,65.62,-0.38493925177432997
2023-04-19,65.15,-0.2837821519140249
2023-04-20,64.27,-0.5328489252194979
2023-04-21,61.37,-1.7653862543373644
2023-04-24,60.94,-0.2664683646278809
2023-04-25,56.91,-2.5040387722132462
2023-04-26,60.88,2.5301128035179365
2023-04-27,61.29,0.2548483341621166
2023-04-28,64.59,2.046004092008191
2023-05-04,65.38,0.4799805577495375
2023-05-05,63.42,-1.1851493530051993
2023-05-08,62.69,-0.4467017500917825
2023-05-09,59.43,-2.003810928760219
2023-05-10,61.41,1.2419243555165327
2023-05-11,62.88,0.9107242426119821
2023-05-12,60.93,-1.1972003929273112
2023-05-15,62.13,0.7456658174361586
2023-05-16,60.35,-1.0978844137420785
2023-05-17,62.2,1.1537262238852541
2023-05-18,61.95,-0.15413070283599728
2023-05-19,61.79,-0.09879592466809362
2023-05-22,62.76,0.5995426169726148
2023-05-23,62.53,-0.141312361759649
2023-05-24,61.85,-0.41838429828339185
2023-05-25,61.27,-0.35835650293482013
2023-05-26,61.29,0.012401562596875415
2023-05-29,58.73,-1.5872031744063486
2023-05-30,58.97,0.15120015120015928
2023-05-31,59.2,0.1446813864251162
2023-06-01,58.82,-0.2386934673366814
2023-06-02,61.41,1.6307769802291983
2023-06-05,63.04,1.0098506907874283
2023-06-06,60.37,-1.6376349362119735
2023-06-07,61.96,0.9914572550975942
2023-06-08,61.36,-0.3704618424302475
2023-06-09,61.63,0.16732771442737882
2023-06-12,62.49,0.5320794406978857
2023-06-13,63.4,0.5600344636592869
2023-06-14,64.01,0.373317013463903
2023-06-15,63.84,-0.10365221632826493
2023-06-16,65.27,0.8728027343749778
2023-06-19,64.23,-0.6292733103406389
2023-06-20,62.34,-1.1508250624124639
2023-06-21,60.55,-1.1026241222126587
2023-06-26,58.55,-1.2457178449081119
2023-06-27,61.83,2.0687480290129345
2023-06-28,60.75,-0.6673669900512991
2023-06-29,61.23,0.2986003110419855
2023-06-30,63.27,1.2652732121813726
2023-07-03,65.13,1.1392172475041207
2023-07-04,66.06,0.5631926361048922
2023-07-05,65.89,-0.10237263639648608
2023-07-06,65.49,-0.24112363614443577
2023-07-07,65.02,-0.2840050758354029
2023-07-10,64.69,-0.19997576051387078
2023-07-11,65.9,0.7347137045357943
2023-07-12,64.05,-1.1151295961422614
2023-07-13,64.42,0.22554099359952673
2023-07-14,64.7,0.17029558447876347
2023-07-17,65.21,0.30965391621129434
2023-07-18,65.93,0.43580897040131905
2023-07-19,66.81,0.5303441210148918
2023-07-20,66.42,-0.23379893291768372
2023-07-21,67.15,0.43864920081719827
2023-07-24,67.13,-0.011965300628180575
